src_ip,src_port,dst_ip,dst_port,first_seen,last_seen
212.179.223.159,23,45.232.73.46,51689,2024-02-14,2024-02-14
212.179.223.159,44284,103.168.146.232,443,2024-02-19,2024-02-19
212.179.223.159,54321,102.212.245.15,53863,2024-03-01,2024-03-01
212.179.223.159,1433,45.64.158.44,58036,2024-02-01,2024-02-01
212.179.223.159,51682,137.74.17.22,51521,2024-02-27,2024-02-27
212.179.223.159,445,103.231.241.40,10400,2024-02-20,2024-02-20
212.179.223.159,706,193.163.125.6,51083,2024-02-06,2024-02-06
212.179.223.159,23,206.185.40.55,14150,2024-02-28,2024-02-28
212.179.223.159,1433,41.94.22.2,12937,2024-02-08,2024-02-08
212.179.223.159,545,80.82.77.144,55195,2024-02-27,2024-02-27
212.179.223.159,43221,118.26.36.18,41217,2024-02-21,2024-02-21
82.166.2.56,4878,165.227.188.220,443,2024-02-06,2024-02-28
82.166.2.56,2116,184.31.3.209,443,2024-02-07,2024-02-28
82.166.2.56,4855,178.128.135.204,443,2024-02-06,2024-02-29
82.166.2.56,2377,143.244.213.221,443,2024-02-06,2024-02-28
82.166.2.56,28506,134.209.172.76,443,2024-02-04,2024-02-11
82.166.2.56,38681,159.203.145.121,443,2024-02-06,2024-02-20
82.166.2.56,445,41.94.22.2,40976,2024-02-01,2024-02-22
82.166.2.56,7284,35.207.247.6,443,2024-02-02,2024-03-01
82.166.2.56,53736,178.62.226.6,443,2024-02-07,2024-02-13
82.166.2.56,3132,162.243.219.20,443,2024-02-18,2024-02-20
82.166.2.56,16227,159.203.147.11,443,2024-02-04,2024-02-19
82.166.2.56,30507,162.243.219.19,443,2024-02-28,2024-02-28
82.166.2.56,56100,67.205.191.172,443,2024-02-20,2024-02-20
82.166.2.56,0,103.168.146.232,0,2024-02-19,2024-02-19
82.166.2.56,36517,174.138.110.220,443,2024-02-04,2024-02-04
82.166.2.56,50115,103.168.146.232,80,2024-02-19,2024-02-19
82.166.2.56,3212,198.199.70.238,443,2024-02-08,2024-02-08
82.166.2.56,56648,178.128.157.96,443,2024-02-08,2024-02-08
82.166.2.56,1433,202.70.133.179,50898,2024-02-26,2024-02-26
82.166.2.56,14031,138.197.240.19,443,2024-02-08,2024-02-08
82.166.2.56,40185,50.57.31.206,443,2024-02-15,2024-02-15
82.166.2.56,23779,137.184.240.16,443,2024-02-14,2024-02-14
82.166.2.56,12122,178.62.5.121,443,2024-02-20,2024-02-20
82.166.2.56,445,45.64.158.44,42572,2024-02-23,2024-02-23
82.166.2.56,14474,5.101.110.225,443,2024-02-05,2024-02-05
82.166.2.56,81,46.173.204.6,17933,2024-02-12,2024-02-12
82.166.2.56,23,185.203.172.56,57867,2024-02-10,2024-02-10
82.166.2.56,63390,178.128.132.116,443,2024-02-04,2024-02-04
82.166.2.56,20051,104.248.252.60,443,2024-02-08,2024-02-08
82.166.2.56,20219,212.100.255.71,443,2024-02-13,2024-02-13
212.235.70.174,445,41.94.22.2,41959,2024-02-09,2024-02-29
212.235.70.174,29259,38.47.180.207,3001,2024-02-12,2024-02-12
212.235.70.174,2323,45.232.74.160,34204,2024-02-26,2024-02-26
212.235.70.174,0,103.160.63.179,0,2024-02-16,2024-02-16
212.235.70.174,3317,103.180.163.251,55230,2024-02-17,2024-02-17
212.235.70.174,56401,178.128.135.204,443,2024-02-04,2024-02-04
212.235.70.174,10443,137.184.162.65,48138,2024-02-21,2024-02-21
